file_uuid,submitter_id,sample_id,sample_type,experimental_strategy
aa46df7a-3190-4812-8136-968c66abdf0e,TCGA-A6-6137-01A,32fc9332-a9fd-47f6-9dee-6413e58e8cce,Primary Tumor,RNA-Seq
b9c05160-ac76-4570-801f-be9fa85ce86d,TCGA-G4-6304-01A,a67c65a3-f80d-4532-9a32-20b2fecadb93,Primary Tumor,RNA-Seq
3f2fd3fc-73b6-4e0e-956e-2ddd0101e98f,TCGA-G4-6317-01A,ef88e2b5-41f4-4d62-ac3d-d10ec8192778,Primary Tumor,RNA-Seq
fdf36034-e9a6-4fa7-8676-9cfb7334cb7f,TCGA-G4-6299-01A,0bf53b2c-319a-4657-901f-a2182af61352,Primary Tumor,RNA-Seq
40143a5e-33be-4a7d-ac9a-6e7836b4c81e,TCGA-D5-6932-01A,5673c112-6eb1-41b3-a797-c9ffff67632c,Primary Tumor,RNA-Seq
1d577f57-20fd-491e-8022-9b0fd0616dc1,TCGA-SS-A7HO-01A,c5849720-9d9f-4af4-9649-27f7a32ba779,Primary Tumor,RNA-Seq
5d1d3b7c-0e4f-44c4-8bd7-81ab208169cd,TCGA-AA-3514-11A,9681eb58-de63-473b-85b8-91bdd07d5f45,Solid Tissue Normal,RNA-Seq
585f1ca8-f5e9-40db-a0b6-f1f2f1125918,TCGA-A6-A567-01A,ed37a5c0-341c-4ecc-8fb8-4b705e76e2af,Primary Tumor,RNA-Seq
98fce918-d028-4b61-9a46-a3c23fb7c15c,TCGA-A6-5659-11A,54aad2df-8ee1-474f-8d94-858cfca51970,Solid Tissue Normal,RNA-Seq
eb8dca18-90e9-4827-8690-5c6cefc7bd25,TCGA-A6-5666-01A,528f5c3e-6b0f-48e7-a57b-56ccd1ec2352,Primary Tumor,RNA-Seq
8e4dfac0-c680-4931-a458-7bc7ffe9171d,TCGA-CA-6715-01A,7628cf2b-c65a-422c-bb64-d0361de85f20,Primary Tumor,RNA-Seq
af33d8e3-7a04-43c8-a775-3a90bbef2b4e,TCGA-A6-5659-01B,81f1e9f6-541f-43df-93cf-c11a569bac93,Primary Tumor,RNA-Seq
2130a1ab-80d9-4b1c-bbc2-be93e4b8a95d,TCGA-D5-6930-01A,82e7493d-1346-4598-91c9-a5582b337c21,Primary Tumor,RNA-Seq
d28e107f-b1ae-4ca3-b88d-256fa0cfa0a8,TCGA-AA-3663-11A,b9a75b12-9df0-4048-b0fe-48041361fa29,Solid Tissue Normal,RNA-Seq
4450a0c1-2446-4c04-a3c0-623598057415,TCGA-AZ-6600-01A,41a03a2c-133a-4d97-a7a5-f32ff8b2b697,Primary Tumor,RNA-Seq
41b62836-ab24-4d24-a7b4-a6f990d75491,TCGA-AZ-6600-11A,08c40bb6-9ad3-4ba7-8d4a-132327a0d7e7,Solid Tissue Normal,RNA-Seq
6aa8c945-2bf1-4208-8f85-e9119a9c5af4,TCGA-F4-6856-01A,b481fc53-5b7e-4e28-bb4d-71a25efa6dad,Primary Tumor,RNA-Seq
b4c9d6df-d09d-4eb1-9913-5bde4c0731ee,TCGA-A6-2684-01C,ec9fc2bb-859d-4a11-8a12-e109075eff8c,Primary Tumor,RNA-Seq
1701a5f9-9e25-4968-9f98-291cf6a03e59,TCGA-A6-5661-01A,8bbfb052-46f4-46e6-8c34-e0b9923c3426,Primary Tumor,RNA-Seq
5e9a188c-008f-4736-8eb2-a8d1525bb47a,TCGA-A6-5661-01B,7ff8b9ce-57b0-4e8d-8607-aef212854f56,Primary Tumor,RNA-Seq
22034b72-fb6a-4e15-801e-c7fb50ba572d,TCGA-DM-A1HB-01A,40b2b04e-371d-42ef-905e-5b9006384a65,Primary Tumor,RNA-Seq
a27ee1e3-7fb0-4850-8074-cb3dae786e2a,TCGA-A6-2674-01B,be4fdd24-ebf2-460e-9ba7-402d3b840c64,Primary Tumor,RNA-Seq
5e118c63-1235-4713-af43-d4df73f3ec64,TCGA-AY-6196-01A,2300f1fc-07fa-443c-bae8-f1b6fd3705bf,Primary Tumor,RNA-Seq
13924f38-0c70-4e92-92ef-cd75d10160f4,TCGA-D5-6922-01A,0152ba53-d53b-4ec8-a256-3dcad8e8d2a3,Primary Tumor,RNA-Seq
2273dc01-cd72-42d0-aa9c-cff163b98217,TCGA-G4-6303-01A,69125f72-2011-4b8a-a450-1eae83b74266,Primary Tumor,RNA-Seq
9f3e9988-5a20-4c0e-803e-8231f475119c,TCGA-AM-5820-01A,1cdee84f-33d8-4836-b569-5b157aec38e5,Primary Tumor,RNA-Seq
e75466a3-856f-4c34-829d-378531bf89ca,TCGA-A6-6651-01A,844a9153-02d7-473e-a371-85b9d63c642d,Primary Tumor,RNA-Seq
b1851e02-e31e-43b7-bb53-6059d8e1a5bd,TCGA-G4-6293-01A,cd96dee2-5b44-4014-bfbd-4358a461497e,Primary Tumor,RNA-Seq
25c45f1a-77fb-4de0-b965-fde2b3fa0ee7,TCGA-AD-5900-01A,8824fcd3-242a-47a9-933e-632d5531bd6c,Primary Tumor,RNA-Seq
e3b95a3b-de25-42ab-98b7-2e4dbee60d62,TCGA-D5-6898-01A,1a8e2409-ca0b-4b53-8d28-df63f7942722,Primary Tumor,RNA-Seq
0f1c8432-df2d-4e7e-8ad2-fa5682c328e1,TCGA-F4-6461-01A,115e6be9-dd9a-4137-8a5c-821ff7860a8f,Primary Tumor,RNA-Seq
b66238b7-0a10-432b-bb8b-f6c99d97f3a6,TCGA-DM-A1D0-01A,0f5128f0-8b2d-45cf-858b-5cd4147ae689,Primary Tumor,RNA-Seq
972af1bb-07e4-4bc9-ae91-9c2984019dbc,TCGA-F4-6460-01A,9ec837eb-3f91-4642-8563-15c725e6424c,Primary Tumor,RNA-Seq
78db7f17-7fcc-43d3-b18d-9fb18c2152bd,TCGA-NH-A50T-01A,9f5ad422-c94d-4914-b6f0-071596ecb589,Primary Tumor,RNA-Seq
03b154af-0b06-4cd2-8130-33c5b813bc7a,TCGA-NH-A6GA-01A,cac671b1-b9d0-484b-9add-fd935d4efc93,Primary Tumor,RNA-Seq
5d52381a-ce68-4848-9d32-a2a6d92b4f9e,TCGA-CK-4948-01B,0ad869d1-24d5-412b-8058-154b97a65853,Primary Tumor,RNA-Seq
e810dcac-9064-4413-a6c4-88939f2025fa,TCGA-G4-6297-01A,fe13b56a-9379-4a6f-ba76-3ea8aa5721ce,Primary Tumor,RNA-Seq
5e856cd8-17e8-4de0-a7d9-b863493dafbc,TCGA-NH-A8F7-06A,b2c1658b-a03b-415c-b460-d316a7ef0a9b,Metastatic,RNA-Seq
c1022844-bcac-4065-91de-a56752389835,TCGA-D5-6929-01A,2ec2a1ce-591e-4e42-8f1a-7dea0b737cf2,Primary Tumor,RNA-Seq
3dd1849c-7ef0-4073-b8bd-c8c8c29afa1b,TCGA-A6-6650-01A,9b637a29-ee08-4ab2-8160-7584c170f87b,Primary Tumor,RNA-Seq
c56ebe0f-3065-4746-a10a-6372ea3a9a0d,TCGA-A6-6650-01B,d95e1d88-5b39-4a57-a445-abfeb765eaf7,Primary Tumor,RNA-Seq
0250888f-2b0d-428e-80f0-89e1b8f0f214,TCGA-CA-5796-01A,1a4d9d59-b0dc-4045-a832-9089d3bc1d52,Primary Tumor,RNA-Seq
442cddd4-8bd8-4cec-a0d6-17147bf2ce35,TCGA-A6-A56B-01A,4425892c-8c35-4f6c-b531-1ec510ad19d2,Primary Tumor,RNA-Seq
c9b1ede5-9f09-4543-ab51-975771cdd055,TCGA-WS-AB45-01A,eb97d34e-7333-4e9d-b559-34dd6436c14c,Primary Tumor,RNA-Seq
dd04bff1-5c23-4d5c-a09f-6f5ca1ed22ea,TCGA-CK-6747-01A,bfdf3d03-51aa-41eb-93bf-d39ff501a824,Primary Tumor,RNA-Seq
a148694e-89dc-49a0-9ab9-b72ebea6e7bd,TCGA-DM-A28E-01A,1daeeee4-4980-4424-b31a-2f6a8e7d4e55,Primary Tumor,RNA-Seq
ce4bc678-5043-4af2-841a-93510fe3fee9,TCGA-D5-5541-01A,b534999a-a60d-4da7-a152-90ce37df4ce0,Primary Tumor,RNA-Seq
48da5203-97c7-4ebf-88ab-1d7496243a6e,TCGA-D5-6535-01A,383f29d6-7db7-42a3-a2f3-fb69dca65f83,Primary Tumor,RNA-Seq
76820e9f-d532-4b68-81da-75fe9eee4702,TCGA-A6-6780-01B,a7fdc16c-890d-4676-82bc-5a81c715c73a,Primary Tumor,RNA-Seq
0a83e2e4-b653-44cb-85ce-646aa646c6a5,TCGA-CM-6163-01A,2dfa5bb3-ffde-4614-bb76-d3075819e1a3,Primary Tumor,RNA-Seq
1575bacf-f639-4e88-8c10-9d52aebba2dd,TCGA-NH-A50U-01A,289f0934-51f9-4f35-a7d1-c193142e794d,Primary Tumor,RNA-Seq
7dad54fb-e072-46e3-9db0-63b1a92bae12,TCGA-5M-AATE-01A,02981f5d-786d-4bc8-9449-cede512502bc,Primary Tumor,RNA-Seq
4a267c33-e0fe-4725-b6b5-3f5d5e0945ef,TCGA-DM-A0XD-01A,9144c7fc-9c78-4b99-814f-4059a11ec33b,Primary Tumor,RNA-Seq
1f47088f-407e-402c-8cb3-499f0f592c2b,TCGA-4T-AA8H-01A,b7e4daef-b24b-45c0-8f9d-21bcf46d9c9a,Primary Tumor,RNA-Seq
6b00ab72-9cfe-4dd4-bb93-f745cc6c4bb7,TCGA-CM-5348-01A,57267a5a-de07-49eb-8021-91f2c3aa8e44,Primary Tumor,RNA-Seq
af08036d-b408-44ba-bebc-80a3d284a447,TCGA-D5-6532-01A,5191b678-f7e1-42f4-a995-aa6abe5fd976,Primary Tumor,RNA-Seq
ec53a1b3-9e13-46c0-a628-3d8b03291a11,TCGA-D5-6927-01A,c281d8eb-0aaf-409c-b8d1-5681c8dc27be,Primary Tumor,RNA-Seq
d60b8899-4137-4857-af25-f08a6b0262e3,TCGA-AY-A69D-01A,6de3e241-606b-441e-9185-7e9f1cd1e61b,Primary Tumor,RNA-Seq
f7caac42-3243-430d-a993-345290300eeb,TCGA-CM-6677-01A,44e7b873-77d5-463c-91d2-cea206ee4391,Primary Tumor,RNA-Seq
f16e3479-3001-4bfd-b7a1-2d9ece4f94e2,TCGA-F4-6806-01A,71e604ba-4ebd-44e9-84bf-5ef09c37bb67,Primary Tumor,RNA-Seq
b9f03a2d-b3cb-41c1-9494-f9015750bc7f,TCGA-A6-A565-01A,87a57810-8b62-4af1-adb9-4715a71ed632,Primary Tumor,RNA-Seq
