ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
169741,"Acetatifactor aquisgranensis","DSM 110981, JCM 36051","caecal content; SPF, female, C57BL/6J mouse",Germany,Europe,,,
18089,"Acetatifactor muris","DSM 23669, ATCC BAA-2170","cecal content of obese mouse",Germany,Europe,"#Host Body Product","#Gastrointestinal tract","#Caecal content"
18089,,,,,,#Host,#Mammals,"#Muridae (Mouse/Rat)"
175115,"Aceticella autotrophica","DSM 108286, VKM B-3415","hot spring",Russia,Europe,,,
164491,"Acetilactobacillus jinshanensis","JCM 33270, CICC 6269","solid-state vinegar culture###Solid-state vinegar culture of Zhenjiang aromatic vinegar",China,Asia,,,
164491,,,,,,,,
175378,"Acetispira sp.","DSM 105826","Hindgut of the cockroach Symploce macroptera",Germany,Europe,,,
6338,"Acetitomaculum ruminis","DSM 5522, ATCC 43876","rumen, bovine",USA,"North America","#Host Body-Site",#Organ,#Rumen
6338,,,,,,#Host,#Mammals,"#Bovinae (Cow, Cattle)"
2764,"Acetivibrio aldrichii","DSM 6159, ATCC 49358, OCM 112","wood-fermenting anaerobic digestor",USA,"North America","#Host Body Product",#Plant,#Timber
2764,,,,,,#Engineered,#Biodegradation,"#Anaerobic digestor"
2838,"Acetivibrio alkalicellulosi","DSM 17461, VKM B-2349","deposits of soda lake",Russia,Asia,#Condition,#Alkaline,
2838,,,,,,#Environmental,#Aquatic,"#Lake (large)"
2838,,,,,,#Engineered,#Waste,"#Solid waste"
17674,"Acetivibrio cellulolyticus","DSM 1870, ATCC 33288, NRC 2248","sewage sludge",Canada,"North America",#Engineered,#Waste,"#Sewage sludge"
2853,"Acetivibrio clariflavus","DSM 19732, NBRC 101661, EBR 45","methanogenic sludge of a cellulose-degrading bioreactor",Japan,Asia,#Condition,"#Anoxic (anaerobic)",
2853,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
2853,,,,,,#Engineered,#Bioreactor,
2853,,,,,,#Engineered,#Biodegradation,
17675,"Acetivibrio ethanolgignens","DSM 3005, ATCC 33324","colon of pig with dysentery",,,"#Host Body-Site","#Gastrointestinal tract","#Large intestine"
17675,,,,,,#Host,#Mammals,"#Suidae (Pig,Swine)"
17675,,,,,,#Infection,#Disease,
157972,"Acetivibrio mesophilus","DSM 107956, CECT 9704","lab-scale biogas fermenter###lab scale biogas plant fed with maize silage",Germany,Europe,#Engineered,#Laboratory,
157972,,,,,,#Engineered,#Bioreactor,
157972,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
157972,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
157972,,,,,,#Engineered,#Laboratory,
157972,,,,,,#Engineered,#Bioreactor,
157972,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
157972,,,,,,#Host,#Plants,"#Herbaceous plants (Grass,Crops)"
132679,"Acetivibrio saccincola","DSM 101079, CECT 9155","thermophilic (55 °C) lab scale biogas plant",Germany,Europe,#Condition,"#Thermophilic (>45°C)",
132679,,,,,,#Engineered,#Laboratory,
132679,,,,,,#Engineered,#Industrial,"#Plant (Factory)"
132679,,,,,,#Engineered,#Bioreactor,
164132,"Acetivibrio saccincola","JCM 31827, DSM 104321","Cellulose-degrading bacterial community inhabiting bovine manure compost on Ishigaki Island",Japan,Asia,,,
2827,"Acetivibrio straminisolvens","DSM 16021, IAM 15070, JCM 21531, NBRC 103399","Straw-degrading bacterial community###a bacterial community constructed from composting processes",Japan,Asia,#Environmental,"#Microbial community",
2827,,,,,,#Engineered,#Biodegradation,#Composting
2827,,,,,,#Environmental,"#Microbial community",
2827,,,,,,#Engineered,#Biodegradation,#Composting
2827,,,,,,#Environmental,"#Microbial community",
2827,,,,,,#Engineered,#Biodegradation,#Composting
2728,"Acetivibrio thermocellus","DSM 1313",,USA,"North America",,,
2730,"Acetivibrio thermocellus","DSM 2360, JCM 9323, ATCC 35609","Laboratory contamination###isolated from contaminated culture of <I>Clostridium thermocellum</I>, strain LQ8 (R.Y. Quinn)",USA,"North America",#Host,#Microbial,#Bacteria
2730,,,,,,#Engineered,#Laboratory,"#Lab enrichment"
2730,,,,,,#Engineered,#Laboratory,#Contaminant
2730,,,,,,#Host,#Microbial,#Bacteria
2730,,,,,,#Engineered,#Laboratory,"#Lab enrichment"
2730,,,,,,#Engineered,#Laboratory,#Contaminant
2731,"Acetivibrio thermocellus","DSM 4150, ATCC 31549",cotton,USA,"North America","#Host Body Product",#Plant,"#Cotton (other fibres)"
2731,,,,,,#Engineered,#Industrial,"#Engineered product"
2731,,,,,,#Host,#Plants,"#Shrub (Scrub)"
22965,"Acetivibrio thermocellus","DSM 25991","hot spring soil sample",USA,"North America",#Condition,"#Thermophilic (>45°C)",
22965,,,,,,#Environmental,#Terrestrial,#Soil
22965,,,,,,#Environmental,#Aquatic,"#Thermal spring"
22966,"Acetivibrio thermocellus","DSM 25992",,USA,"North America",,,
174402,"Acetivibrio thermocellus","DSM 29190, BC 1","compost treatment site",Germany,Europe,,,
131392,"Acetoanaerobium pronyense","DSM 27512, JCM 19400","Carbonate chimney of the Prony Hydrothermal Field (PHF)###carbonaceous chimney of an alkaline hydrothermal field, 16.5 m below sea level","French Overseas###France",Europe,#Condition,"#Thermophilic (>45°C)",
131392,,,,,,#Condition,#Alkaline,
131392,,,,,,#Environmental,#Aquatic,"#Thermal spring"
131392,,,,,,#Environmental,#Aquatic,"#Hydrothermal vent"
131392,,,,,,#Condition,"#Thermophilic (>45°C)",
131392,,,,,,#Condition,#Alkaline,
131392,,,,,,#Environmental,#Aquatic,"#Thermal spring"
131392,,,,,,#Environmental,#Aquatic,"#Hydrothermal vent"
2717,"Acetoanaerobium sticklandii","DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485","mud water###black mud",USA,"North America",#Environmental,#Terrestrial,"#Mud (Sludge)"
2717,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
2717,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
2,"Acetobacter aceti","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828","Food, Alcohol vinegar###Beech-wood shavings of vinegar plant###alcohol turned to vinegar",,,#Environmental,"#Microbial community",
2,,,,,,#Engineered,"#Food production",
2,,,,,,#Environmental,"#Microbial community",
2,,,,,,#Engineered,"#Food production",
2,,,,,,#Environmental,"#Microbial community",
2,,,,,,#Engineered,"#Food production",
2,,,,,,#Environmental,"#Microbial community",
2,,,,,,#Engineered,"#Food production",
163091,"Acetobacter aceti","JCM 21164, ATCC 12878, IAM 14350, LMG 1520, NCIMB 6656, NCTC 6656","Vinegar brews",Kenya,Africa,,,
163298,"Acetobacter aceti","JCM 25003, LMG 1506, LMG 5",Beer,Belgium,Europe,,,
163300,"Acetobacter aceti","JCM 25005, LMG 1535","Vinegar plant",Belgium,Europe,,,
12,"Acetobacter cerevisiae","DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461","Beer###beer (ale) in storage",Canada,"North America",#Engineered,"#Food production",#Beverage
12,,,,,,#Engineered,"#Food production",#Fermented
12,,,,,,#Engineered,"#Food production",#Beverage
12,,,,,,#Engineered,"#Food production",#Fermented
12,,,,,,#Engineered,"#Food production",#Beverage
12,,,,,,#Engineered,"#Food production",#Fermented
136593,"Acetobacter cerevisiae","CIP 58.66","Vinegar acidifier",France,Europe,,,
136593,,,,,,,,
15,"Acetobacter cibinongensis","DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380","Mountain soursop###Mountain soursop (<I>Annona montanae</I>)###fruit of montain soursop, <I>Annona montanae</I>",Indonesia,Asia,"#Host Body-Site",#Plant,"#Fruit (Seed)"
15,,,,,,#Host,#Plants,#Tree
15,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
15,,,,,,#Host,#Plants,#Tree
15,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
15,,,,,,#Host,#Plants,#Tree
10,"Acetobacter estunensis","DSM 4493, ATCC 23753, CCUG 18130, IAM 14359, LMG 1626, NCIMB 8935, JCM 21172, BCRC 12953, CCM 3613, IFO 13751, NBRC 13751","Apple juice or cider or associated equipment###cider making","United Kingdom",Europe,#Engineered,"#Food production",#Beverage
10,,,,,,#Engineered,#Industrial,
10,,,,,,#Engineered,"#Food production",#Fermented
10,,,,,,#Engineered,"#Food production",#Beverage
10,,,,,,#Engineered,#Industrial,
10,,,,,,#Engineered,"#Food production",#Fermented
23,"Acetobacter fabarum","DSM 19596, LMG 24244","cocoa bean heap fermentation",Ghana,Africa,"#Host Body-Site",#Plant,"#Fruit (Seed)"
23,,,,,,#Engineered,"#Food production",
22,"Acetobacter ghanensis","DSM 18895, LMG 23848","traditional heap fermentation of Ghanaian cocoa beans",Ghana,Africa,"#Host Body-Site",#Plant,"#Fruit (Seed)"
22,,,,,,#Engineered,"#Food production",#Food
18,"Acetobacter indonesiensis","DSM 15552, IFO 16471, JCM 10948, NBRC 16471, NRIC 0313, BCRC 17167, LMG 19824","Zirzak###rotten zirzak (fruit)",Indonesia,Asia,"#Host Body-Site",#Plant,"#Fruit (Seed)"
18,,,,,,#Host,#Plants,"#Decomposing plant"
18,,,,,,"#Host Body-Site",#Plant,"#Fruit (Seed)"
18,,,,,,#Host,#Plants,"#Decomposing plant"
23488,"Acetobacter indonesiensis","DSM 3805, NCIB 7215, ATCC 9432, CECT 474, LMG 1607, NCIMB 7125, NCIMB 8141, NCTC 7215, NRRL B-55, JCM 21170, IAM 14357, NCIMB 7215, NCIMB 8090",vinegar,,,#Condition,#Acidic,
23488,,,,,,#Engineered,"#Food production",#Food
23488,,,,,,#Engineered,"#Food production",#Fermented
23488,,,,,,#Condition,#Acidic,
23488,,,,,,#Engineered,"#Food production",#Food
23488,,,,,,#Engineered,"#Food production",#Fermented
23489,"Acetobacter lambici","DSM 27328, LMG 27439","fermenting lambic beer",Belgium,Europe,#Engineered,"#Food production",#Beverage
23489,,,,,,#Engineered,"#Food production",#Fermented
